Wall clock simulation time: 79.425 seconds
Surface Fluence
1 	2 	23 	0.125 	52.3934
1 	2 	443 	0.125 	52.8972
1 	22 	23 	0.125 	47.0661
1 	22 	442 	0.125 	39.6222
1 	442 	443 	0.125 	46.2833
2 	3 	24 	0.125 	66.107
2 	3 	444 	0.125 	74.2066
2 	23 	24 	0.125 	62.0842
2 	443 	444 	0.125 	67.3228
3 	4 	25 	0.125 	92.3896
3 	4 	445 	0.125 	95.8289
3 	24 	25 	0.125 	101.884
3 	444 	445 	0.125 	92.6804
4 	5 	26 	0.125 	130.293
4 	5 	446 	0.125 	125.013
4 	25 	26 	0.125 	125.226
4 	445 	446 	0.125 	125.193
5 	6 	27 	0.125 	160.528
5 	6 	447 	0.125 	147.777
5 	26 	27 	0.125 	157.773
5 	446 	447 	0.125 	158.751
6 	7 	28 	0.125 	188.867
6 	7 	448 	0.125 	189.173
6 	27 	28 	0.125 	190.546
6 	447 	448 	0.125 	197.859
7 	8 	29 	0.125 	209.341
7 	8 	449 	0.125 	216.447
7 	28 	29 	0.125 	235.327
7 	448 	449 	0.125 	243.824
8 	9 	30 	0.125 	233.674
8 	9 	450 	0.125 	253.319
8 	29 	30 	0.125 	263.45
8 	449 	450 	0.125 	264.059
9 	10 	31 	0.125 	281.769
9 	10 	451 	0.125 	291.727
9 	30 	31 	0.125 	309.81
9 	450 	451 	0.125 	294.542
10 	11 	32 	0.125 	313.882
10 	11 	452 	0.125 	309.046
10 	31 	32 	0.125 	323.883
10 	451 	452 	0.125 	328.075
11 	12 	33 	0.125 	322.503
11 	12 	453 	0.125 	315.877
11 	32 	33 	0.125 	353.82
11 	452 	453 	0.125 	359.644
12 	13 	34 	0.125 	332.707
12 	13 	454 	0.125 	331.961
12 	33 	34 	0.125 	357.975
12 	453 	454 	0.125 	372.743
13 	14 	35 	0.125 	340.72
13 	14 	455 	0.125 	337.019
13 	34 	35 	0.125 	380.817
13 	454 	455 	0.125 	376.417
14 	15 	36 	0.125 	339.022
14 	15 	456 	0.125 	326.544
14 	35 	36 	0.125 	375.153
14 	455 	456 	0.125 	372.629
15 	16 	37 	0.125 	305.098
15 	16 	457 	0.125 	305.121
15 	36 	37 	0.125 	362.932
15 	456 	457 	0.125 	360.908
16 	17 	38 	0.125 	273.328
16 	17 	458 	0.125 	270.191
16 	37 	38 	0.125 	308.73
16 	457 	458 	0.125 	330.416
17 	18 	39 	0.125 	247.417
17 	18 	459 	0.125 	238.044
17 	38 	39 	0.125 	276.978
17 	458 	459 	0.125 	278.287
18 	19 	40 	0.125 	211.323
18 	19 	460 	0.125 	198.607
18 	39 	40 	0.125 	252.186
18 	459 	460 	0.125 	230.858
19 	20 	41 	0.125 	153.693
19 	20 	461 	0.125 	149.234
19 	40 	41 	0.125 	185.177
19 	460 	461 	0.125 	174.854
20 	21 	42 	0.125 	111.336
20 	21 	462 	0.125 	98.2184
20 	41 	42 	0.125 	130.429
20 	461 	462 	0.125 	129.858
21 	42 	462 	0.125 	110.591
22 	23 	44 	0.125 	69.0006
22 	43 	44 	0.125 	70.7798
22 	43 	463 	0.125 	57.0508
22 	442 	463 	0.125 	57.7819
23 	24 	45 	0.125 	97.9822
23 	44 	45 	0.125 	100.201
24 	25 	46 	0.125 	133.894
24 	45 	46 	0.125 	145.653
25 	26 	47 	0.125 	171.959
25 	46 	47 	0.125 	167.955
26 	27 	48 	0.125 	215.268
26 	47 	48 	0.125 	245.259
27 	28 	49 	0.125 	263.212
27 	48 	49 	0.125 	274.897
28 	29 	50 	0.125 	327.355
28 	49 	50 	0.125 	331.431
29 	30 	51 	0.125 	372.624
29 	50 	51 	0.125 	401.957
30 	31 	52 	0.125 	398.295
30 	51 	52 	0.125 	439.396
31 	32 	53 	0.125 	452.207
31 	52 	53 	0.125 	482.065
32 	33 	54 	0.125 	482.31
32 	53 	54 	0.125 	528.737
33 	34 	55 	0.125 	483.206
33 	54 	55 	0.125 	550.623
34 	35 	56 	0.125 	474.627
34 	55 	56 	0.125 	538.46
35 	36 	57 	0.125 	460.965
35 	56 	57 	0.125 	531.505
36 	37 	58 	0.125 	449.786
36 	57 	58 	0.125 	519.628
37 	38 	59 	0.125 	406.302
37 	58 	59 	0.125 	471.495
38 	39 	60 	0.125 	355.306
38 	59 	60 	0.125 	406.668
39 	40 	61 	0.125 	290.038
39 	60 	61 	0.125 	342.835
40 	41 	62 	0.125 	213.451
40 	61 	62 	0.125 	262.131
41 	42 	63 	0.125 	156.528
41 	62 	63 	0.125 	203.852
42 	63 	483 	0.125 	155.943
42 	462 	483 	0.125 	125.712
43 	44 	65 	0.125 	91.2635
43 	64 	65 	0.125 	92.2151
43 	64 	484 	0.125 	80.403
43 	463 	484 	0.125 	73.3971
44 	45 	66 	0.125 	136.573
44 	65 	66 	0.125 	128.73
45 	46 	67 	0.125 	181.101
45 	66 	67 	0.125 	181.928
46 	47 	68 	0.125 	226.32
46 	67 	68 	0.125 	241.011
47 	48 	69 	0.125 	288.51
47 	68 	69 	0.125 	320.727
48 	49 	70 	0.125 	377.977
48 	69 	70 	0.125 	369.195
49 	50 	71 	0.125 	420.72
49 	70 	71 	0.125 	450.385
50 	51 	72 	0.125 	489.841
50 	71 	72 	0.125 	512.315
51 	52 	73 	0.125 	571.737
51 	72 	73 	0.125 	584.171
52 	53 	74 	0.125 	595.866
52 	73 	74 	0.125 	664.081
53 	54 	75 	0.125 	651.1
53 	74 	75 	0.125 	707.761
54 	55 	76 	0.125 	678.664
54 	75 	76 	0.125 	746.564
