1 	2 	23 	0.125 	0
1 	2 	443 	0.125 	0
1 	442 	443 	0.125 	0
1 	22 	23 	0.125 	0
1 	22 	442 	0.125 	0
22 	442 	463 	0.125 	0
442 	443 	884 	0.125 	0
442 	883 	884 	0.125 	0
442 	463 	883 	0.125 	0
463 	883 	904 	0.125 	0
883 	884 	1325 	0.125 	0
883 	1324 	1325 	0.125 	0
883 	904 	1324 	0.125 	0
904 	1324 	1345 	0.125 	0
1324 	1325 	1766 	0.125 	0
1324 	1765 	1766 	0.125 	0
1324 	1345 	1765 	0.125 	0
1345 	1765 	1786 	0.125 	0
1765 	1766 	2207 	0.125 	0
1765 	2206 	2207 	0.125 	0
1765 	1786 	2206 	0.125 	0
1786 	2206 	2227 	0.125 	0
2206 	2207 	2648 	0.125 	0
2206 	2647 	2648 	0.125 	0
2206 	2227 	2647 	0.125 	0
2227 	2647 	2668 	0.125 	0
2647 	2648 	3089 	0.125 	0
2647 	3088 	3089 	0.125 	0
2647 	2668 	3088 	0.125 	0
2668 	3088 	3109 	0.125 	0
3088 	3089 	3530 	0.125 	0
3088 	3529 	3530 	0.125 	0
3088 	3109 	3529 	0.125 	0
3109 	3529 	3550 	0.125 	0
3529 	3530 	3971 	0.125 	0
3529 	3970 	3971 	0.125 	0
3529 	3550 	3970 	0.125 	0
3550 	3970 	3991 	0.125 	0
3970 	3971 	4412 	0.125 	0
3970 	4411 	4412 	0.125 	0
3970 	3991 	4411 	0.125 	0
3991 	4411 	4432 	0.125 	0
4411 	4412 	4853 	0.125 	0
4411 	4852 	4853 	0.125 	0
4411 	4432 	4852 	0.125 	0
4432 	4852 	4873 	0.125 	0
4852 	4853 	5294 	0.125 	0
4852 	5293 	5294 	0.125 	0
4852 	4873 	5293 	0.125 	0
4873 	5293 	5314 	0.125 	0
5293 	5294 	5735 	0.125 	0
5293 	5734 	5735 	0.125 	0
5293 	5314 	5734 	0.125 	0
5314 	5734 	5755 	0.125 	0
5734 	5735 	6176 	0.125 	0
5734 	6175 	6176 	0.125 	0
5734 	5755 	6175 	0.125 	0
5755 	6175 	6196 	0.125 	0
6175 	6176 	6617 	0.125 	0
6175 	6616 	6617 	0.125 	0
6175 	6196 	6616 	0.125 	0
6196 	6616 	6637 	0.125 	0
6616 	6617 	7058 	0.125 	0
6616 	7057 	7058 	0.125 	0
6616 	6637 	7057 	0.125 	0
6637 	7057 	7078 	0.125 	0
7057 	7058 	7499 	0.125 	0
7057 	7498 	7499 	0.125 	0
7057 	7078 	7498 	0.125 	0
7078 	7498 	7519 	0.125 	0
7498 	7499 	7940 	0.125 	0
7498 	7939 	7940 	0.125 	0
7498 	7519 	7939 	0.125 	0
7519 	7939 	7960 	0.125 	0
7939 	7940 	8381 	0.125 	0
7939 	8380 	8381 	0.125 	0
7939 	7960 	8380 	0.125 	0
7960 	8380 	8401 	0.125 	0
8380 	8381 	8822 	0.125 	0
8380 	8821 	8822 	0.125 	0
8821 	8822 	8843 	0.125 	0
8380 	8401 	8821 	0.125 	0
8401 	8821 	8842 	0.125 	0
8821 	8842 	8843 	0.125 	0
2 	3 	24 	0.125 	0
2 	3 	444 	0.125 	0
2 	443 	444 	0.125 	0
2 	23 	24 	0.125 	0
443 	444 	885 	0.125 	0
443 	884 	885 	0.125 	0
884 	885 	1326 	0.125 	0
884 	1325 	1326 	0.125 	0
1325 	1326 	1767 	0.125 	0
1325 	1766 	1767 	0.125 	0
1766 	1767 	2208 	0.125 	0
1766 	2207 	2208 	0.125 	0
2207 	2208 	2649 	0.125 	0
2207 	2648 	2649 	0.125 	0
2648 	2649 	3090 	0.125 	0
2648 	3089 	3090 	0.125 	0
3089 	3090 	3531 	0.125 	0
3089 	3530 	3531 	0.125 	0
3530 	3531 	3972 	0.125 	0
3530 	3971 	3972 	0.125 	0
3971 	3972 	4413 	0.125 	0
3971 	4412 	4413 	0.125 	0
4412 	4413 	4854 	0.125 	0
4412 	4853 	4854 	0.125 	0
4853 	4854 	5295 	0.125 	0
